Date,IMAX,CNK,AMC
1/2/2020,20.50,34.07,32.91
1/3/2020,20.71,33.92,32.29
1/6/2020,20.82,33.94,31.41
1/7/2020,20.90,33.89,31.46
1/8/2020,20.00,32.11,29.21
1/9/2020,19.60,31.00,28.50
1/10/2020,19.63,31.13,28.54
1/13/2020,19.92,31.41,28.94
1/14/2020,20.17,31.63,30.22
1/15/2020,20.24,32.20,31.37
1/16/2020,20.51,32.36,32.34
1/17/2020,20.42,32.43,32.12
1/21/2020,19.54,32.01,31.68
1/22/2020,19.02,32.36,30.75
1/23/2020,18.29,32.30,30.00
1/24/2020,17.97,32.22,29.74
1/27/2020,17.21,31.88,28.06
1/28/2020,17.54,32.52,29.96
1/29/2020,17.12,32.43,29.87
1/30/2020,17.14,32.51,30.18
1/31/2020,16.54,31.51,28.76
2/3/2020,16.82,31.08,28.46
2/4/2020,16.86,31.19,29.34
2/5/2020,17.71,32.18,30.88
2/6/2020,17.99,31.65,29.78
2/7/2020,17.17,31.50,28.90
2/10/2020,17.15,31.57,29.96
2/11/2020,17.11,31.54,30.62
2/12/2020,17.77,31.34,30.26
2/13/2020,17.61,31.02,30.88
2/14/2020,17.82,30.77,31.32
2/18/2020,17.10,31.71,31.06
2/19/2020,17.10,32.12,32.25
2/20/2020,17.20,32.67,34.24
2/21/2020,16.90,29.14,32.91
2/24/2020,16.58,28.69,31.10
2/25/2020,15.98,27.00,28.90
2/26/2020,15.47,25.48,26.16
2/27/2020,15.34,25.17,26.87
2/28/2020,15.58,25.96,27.62
3/2/2020,15.50,24.74,26.96
3/3/2020,15.32,24.15,25.63
3/4/2020,15.50,24.19,25.68
3/5/2020,14.82,23.08,21.71
3/6/2020,15.03,23.58,19.99
3/9/2020,14.45,21.01,16.99
3/10/2020,15.28,22.01,18.53
3/11/2020,14.61,19.49,16.06
3/12/2020,10.85,14.68,12.84
3/13/2020,11.10,14.70,14.21
3/16/2020,9.15,10.13,11.47
3/17/2020,7.16,6.96,10.94
3/18/2020,7.20,6.58,10.90
3/19/2020,11.47,11.39,14.87
3/20/2020,10.58,11.42,14.07
3/23/2020,10.76,12.29,13.90
3/24/2020,10.70,11.58,15.71
3/25/2020,10.14,11.63,15.26
3/26/2020,10.25,12.68,16.32
3/27/2020,9.08,12.30,15.88
3/30/2020,8.53,10.10,13.41
3/31/2020,9.05,10.19,13.94
4/1/2020,8.38,8.03,11.56
4/2/2020,8.80,8.41,9.88
4/3/2020,9.33,8.39,10.01
4/6/2020,9.92,9.28,12.71
4/7/2020,10.13,10.85,13.85
4/8/2020,10.28,11.35,14.56
4/9/2020,10.73,12.50,11.47
4/13/2020,10.22,10.80,9.18
4/14/2020,10.48,11.39,9.62
4/15/2020,10.22,11.43,10.63
4/16/2020,10.12,11.61,10.76
4/17/2020,11.03,13.48,14.12
4/20/2020,11.84,13.52,14.03
4/21/2020,11.57,13.53,14.34
4/22/2020,10.92,12.53,14.03
4/23/2020,11.01,12.84,13.72
4/24/2020,10.64,12.20,13.46
4/27/2020,11.08,13.25,14.82
4/28/2020,12.19,14.11,18.26
4/29/2020,12.59,15.34,22.90
4/30/2020,11.50,14.28,21.71
5/1/2020,11.61,13.52,20.16
5/4/2020,11.83,13.70,18.97
5/5/2020,11.61,13.24,17.16
5/6/2020,11.36,12.79,17.29
5/7/2020,11.81,13.61,17.60
5/8/2020,12.15,14.13,18.09
5/11/2020,12.13,13.58,23.47
5/12/2020,11.80,13.08,22.59
5/13/2020,11.63,12.18,20.29
5/14/2020,11.49,11.99,20.07
5/15/2020,11.36,11.88,19.94
5/18/2020,12.01,13.29,20.82
5/19/2020,11.71,12.98,20.12
5/20/2020,12.25,13.96,20.56
5/21/2020,12.69,14.22,20.43
5/22/2020,12.60,14.04,20.21
5/26/2020,12.61,15.45,22.54
5/27/2020,13.22,17.24,24.71
5/28/2020,12.18,15.30,22.37
5/29/2020,12.61,15.03,22.63
6/1/2020,12.87,15.62,23.43
6/2/2020,13.04,15.95,24.66
6/3/2020,13.28,16.34,24.04
6/4/2020,13.44,16.72,23.74
6/5/2020,13.89,17.64,26.07
6/8/2020,14.02,19.66,28.46
6/9/2020,13.95,18.16,26.43
6/10/2020,13.42,17.07,27.75
6/11/2020,12.62,14.97,22.81
6/12/2020,12.78,15.64,25.99
6/15/2020,13.14,15.33,25.59
6/16/2020,12.65,15.31,24.53
6/17/2020,12.20,14.71,23.91
6/18/2020,12.20,15.36,24.84
6/19/2020,11.73,14.06,24.35
6/22/2020,11.45,14.17,23.51
6/23/2020,11.58,13.96,22.50
6/24/2020,11.10,12.81,21.13
6/25/2020,10.86,12.37,18.84
6/26/2020,10.54,11.39,18.44
6/29/2020,11.13,11.65,19.50
6/30/2020,11.21,11.55,18.93
7/1/2020,11.20,12.83,20.16
7/2/2020,10.55,12.27,19.99
7/6/2020,11.49,12.59,18.88
7/7/2020,11.17,12.22,18.22
7/8/2020,11.53,13.00,19.54
7/9/2020,11.59,12.84,20.16
7/10/2020,11.99,13.04,20.29
7/13/2020,11.41,12.68,18.79
7/14/2020,11.26,12.33,18.62
7/15/2020,12.83,14.25,19.85
7/16/2020,13.59,13.73,19.32
7/17/2020,13.40,13.59,18.84
7/20/2020,13.35,12.93,18.31
7/21/2020,13.06,12.82,18.31
7/22/2020,12.91,12.65,17.78
7/23/2020,12.84,12.57,17.91
7/24/2020,12.52,12.21,17.65
7/27/2020,12.64,12.08,17.07
