Quarter,IMAX,CNK,AMC
2020-Q1,15.83,25.65,25.40
2020-Q2,11.69,13.57,19.29
2020-Q3,12.93,12.47,22.08
2020-Q4,13.78,12.57,14.42
2021-Q1,19.93,21.09,33.74
2021-Q2,21.55,22.18,116.89
2021-Q3,16.60,17.00,177.89
2021-Q4,19.17,18.71,155.39
2022-Q1,18.71,16.62,82.09
2022-Q2,16.26,15.84,64.19
2022-Q3,16.04,15.66,77.89
2022-Q4,14.58,11.27,55.63
2023-Q1,17.21,12.13,46.83
2023-Q2,18.98,16.62,43.60
2023-Q3,18.43,16.74,26.65
2023-Q4,17.11,15.55,8.12
2024-Q1,15.20,15.76,4.45
2024-Q2,16.54,18.14,4.02
2024-Q3,19.67,25.42,4.98
2024-Q4,23.52,30.93,4.39
2025-Q1,24.95,27.84,3.28
2025-Q2,25.95,30.24,2.97
2025-Q3,28.35,27.72,2.97
2025-Q4,34.25,27.00,2.56
